Name,Age,Net_Worth,Income Source,Citizenship
Paul Saville ,66.0,$1.6 B,Real Estate ,United States
Georg Haub ,60.0,$2.2 B,Fashion & Retail ,Germany
Arvind Tiku ,52.0,$2.2 B,Energy ,India
Bill Gross ,77.0,$1.6 B,Finance & Investments ,United States
Hartono Kweefanus ,72.0,$1.2 B,Food & Beverage ,Indonesia
Sandro Veronesi & family ,62.0,$1.3 B,Fashion & Retail ,Italy
Apoorva Mehta ,35.0,$3.5 B,Technology ,Canada
Kim Jun-ki ,77.0,$1.4 B,Diversified ,South Korea
Margaretta Taylor ,79.0,$5.2 B,Media & Entertainment ,United States
Scott Farquhar ,42.0,$15.1 B,Technology ,Australia
Sheryl Sandberg ,52.0,$1.6 B,Technology ,United States
Han Wang ,34.0,$1.3 B,Diversified ,China
Wang Xiaoshen ,53.0,$1.9 B,Manufacturing ,China
Goh Cheng Liang ,94.0,$12.1 B,Manufacturing ,Singapore
Allan Goldman ,79.0,$2.8 B,Real Estate ,United States
Catherine Phillips ,,$1.1 B,Finance & Investments ,Canada
Hu Kunhui ,31.0,$1.6 B,Healthcare ,China
Esther Grether ,86.0,$1.5 B,Fashion & Retail ,Switzerland
Yang Weidong & family ,53.0,$3.3 B,Manufacturing ,China
William Young ,81.0,$2.2 B,Manufacturing ,United States
Girdhari Lal Bawri ,74.0,$2.4 B,Healthcare ,India
Zhang Yin ,65.0,$1.5 B,Manufacturing ,China
Shang Xiaobo & family ,48.0,$1.7 B,Manufacturing ,China
Eyal Ofer ,71.0,$15.4 B,Diversified ,Israel
Stephen Feinberg ,62.0,$2.3 B,Finance & Investments ,United States
Jonathan Tisch ,68.0,$1.5 B,Diversified ,United States
Huang Jiangji ,,$1.1 B,Technology ,Hong Kong
Karen Pritzker ,64.0,$5.8 B,Finance & Investments ,United States
Len Blavatnik ,64.0,$32.5 B,Diversified ,United States
Li Ruiqiang ,42.0,$1.3 B,Healthcare ,China
Yu Qibing & family ,56.0,$2.7 B,Manufacturing ,China
Taha Mikati ,77.0,$3.2 B,Telecom ,Lebanon
David Zalik ,48.0,$1.9 B,Technology ,United States
Stewart Butterfield ,49.0,$1.4 B,Technology ,Canada
Savitri Jindal & family ,72.0,$17.7 B,Metals & Mining ,India
Herbert Sy ,65.0,$2.6 B,Diversified ,Philippines
Ji Qi ,55.0,$2 B,Real Estate ,China
Li Jiaquan ,58.0,$1.6 B,Manufacturing ,China
Alex Shevchenko ,42.0,$4 B,Technology ,Canada
Austin Russell ,27.0,$1.6 B,Automotive ,United States
"Reinfried Pohl, Jr. ",62.0,$1.5 B,Finance & Investments ,Germany
K. Rai Sahi ,75.0,$1.1 B,Real Estate ,Canada
